gene_id	Op_Prot_Nat_A	Op_Prot_Nat_B	Op_Prot_Nat_C	Tr_Prot_Nat_A	Tr_Prot_Nat_B	Tr_Prot_Nat_C	Tr_Prot_Alk_A	Tr_Prot_Alk_B	Tr_Prot_Alk_C
scaffold81:hit:278447	0	0	0	0	0	0	0	0	0
scaffold805:hit:344097	3.06	4.2	3.6	5.48	2.4	6.79	4.69	5.43	3.67
scaffold80:hit:277705	34.69	29.21	28.05	25.84	26.52	23.34	31.77	29.28	31.69
scaffold80:hit:277700	0.03	1.33	0.47	0.96	2.92	1.33	2.4	5.59	2.79
scaffold80:hit:277684	18.78	13.75	15.7	22.85	15.94	18.13	31.79	20.44	18.78
scaffold80:hit:277548	19.84	19.47	16.06	19.54	22.66	15.72	16.73	20.63	17.5
scaffold8:hit:90271	0	0	0	0	0	0	0	0	0
scaffold8:hit:90187	1.08	1.24	1.28	1.63	1.44	1.35	1.12	1.54	1.76
scaffold8:hit:90167	3.32	1.97	2.42	2.02	2.21	1.91	1.46	2.19	2.83
scaffold8:hit:89919	0	0	0	0	0	0	0	0	0
scaffold8:hit:89911	0	0	0	0	0	0	0	0	0
scaffold8:hit:89830	1.35	6.98	7.51	2.11	10.08	1.61	3.16	10.13	1.36
scaffold8:hit:89829	25.27	24.53	24.3	37.21	45.32	21.43	25.66	34.86	28.8
scaffold8:hit:89779	0	0	0	0	0	0	0	0	0
scaffold8:hit:89769	0	0	0	0	0	0	0	0	0
scaffold8:hit:89735	0	0.41	0.32	0.92	1.16	0.7	0.71	2.53	1.15
scaffold8:hit:89733	28353.34	29514.25	28027.97	36475.58	52460.16	24092.57	26950.5	34661.1	25987.51
scaffold8:hit:89732	1352.47	422.22	524.05	1192.03	572.92	414.58	872.28	214.4	247.8
scaffold8:hit:89727	0	0	0	0	0	0	0	0	0
scaffold8:hit:89669	0	1.72	0.44	0.43	2.52	2.29	2.31	6.02	3.95
scaffold8:hit:89662	4.4	2.26	2.46	2.68	3.23	2.05	1.01	1.89	2.63
scaffold8:hit:89577	0.36	0.15	0	0.34	0.42	0.13	0	0.13	0.34
scaffold8:hit:89575	3687.98	5062.97	4045.24	3918.17	5006.42	2695.42	2172.54	3110.67	2907.87
scaffold8:hit:89532	0	0	0	0	0	0	0	0	0
scaffold8:hit:89480	2.18	1.81	1.15	1.73	2.3	2.9	0.79	1.58	2.81
scaffold8:hit:89477	21.95	28.13	20.18	27.23	35.55	22.62	21.24	35.55	34.33
scaffold8:hit:89471	0	0	0	0	0	0	0	0	0
scaffold8:hit:89470	2.67	3.59	2.39	4.21	5.08	2.2	2.12	5.02	3.33
scaffold8:hit:89454	38.99	22.97	32.4	44.01	37.08	38.61	27.13	30.38	38.67
scaffold8:hit:89307	0	0	0	0	0	0	0	0	0
scaffold8:hit:89159	0	0	0	0	0	0	0	0	0
scaffold8:hit:89156	0	0	0	0	0	0	0	0	0
scaffold8:hit:89154	0	0	0	0	0	0	0	0	0
scaffold8:hit:89094	0	0	0	0	0	0	0	0	0
scaffold8:hit:89066	0	0	0	0	0	0	0	0	0
scaffold8:hit:89060	0	0	0	0	0	0	0	0	0
