gene_id	Op_Prot_Nat_A	Op_Prot_Nat_B	Op_Prot_Nat_C	Tr_Prot_Nat_A	Tr_Prot_Nat_B	Tr_Prot_Nat_C	Tr_Prot_Alk_A	Tr_Prot_Alk_B	Tr_Prot_Alk_C
evm.model.scaffold8.2	0.17	0.64	0.49	0.24	1.21	0.37	0.19	1.68	1.64
evm.model.scaffold8.19	11.69	12.3	12.77	15.9	16.31	13.39	11.63	19.38	15.15
evm.model.scaffold8.18	4.88	3.09	4	5.64	5.2	4.02	4.29	5.13	5.11
evm.model.scaffold8.178	37.47	36.82	35.44	34.12	36.61	36.91	23.14	42.04	37.58
evm.model.scaffold8.177	46.61	48.5	42.42	59.43	51.53	44.24	48.81	51.2	37.72
evm.model.scaffold8.176	36.01	32.89	29.81	42.52	44.63	32.33	33.31	39.54	39.32
evm.model.scaffold8.175	3.84	2.74	3.12	3.99	3.11	2.49	2.35	3.54	3.38
evm.model.scaffold8.174	22.89	35.28	27.69	36.29	39.08	27.04	22.15	37.32	19.27
evm.model.scaffold8.173	0.18	0.07	0.09	0.12	0.08	0.14	0.13	0.12	0.09
evm.model.scaffold8.172	15.79	11.43	12.59	17.94	14.47	15.1	17	18.35	19.13
evm.model.scaffold8.171	15.62	24.06	10.88	16.49	21.33	14.09	18.71	21.22	18.22
evm.model.scaffold8.170	11.92	12.6	10.44	14.46	18.23	11.42	12.99	18.67	15.76
evm.model.scaffold8.17	0.11	28.66	12.18	24.72	71.56	30.37	47.31	147.73	57.22
evm.model.scaffold8.169	1.63	1.79	1.52	3.57	2.06	0.51	4.28	3.47	2.43
evm.model.scaffold8.168	2.91	2.63	2.66	2.46	2.48	2.2	2.22	3.15	3
evm.model.scaffold8.167	47.63	42.1	42.25	60.44	53.06	48.12	44.67	58.71	41.2
evm.model.scaffold8.166	5.5	7.82	5.23	6.52	9.99	7.71	6.1	10.35	9.05
evm.model.scaffold8.165	15.76	16.85	20.21	17.77	16.3	15.92	16.26	17.37	21.78
evm.model.scaffold8.164	3.66	5.54	4.19	5.46	6.25	3.68	3.66	6.75	4.26
evm.model.scaffold8.163	0.02	0.1	0.1	0.09	0.14	0.07	0.07	0.07	0.08
evm.model.scaffold8.162	131.24	143.85	125.18	142.94	168.44	139.75	117.71	152.75	134.75
evm.model.scaffold8.161	112.19	106.19	115.57	161.02	143.57	88.54	119.09	193.48	135.47
evm.model.scaffold8.160	9.02	19.14	12.08	17.12	36.05	17.6	20.44	51.51	26.52
evm.model.scaffold8.16	28.58	34.04	27.53	34.4	38.79	29.5	26.48	38.24	29.51
evm.model.scaffold8.159	0.71	0.49	0.57	0.79	0.79	0.6	0.76	0.71	0.71
evm.model.scaffold8.158	24.83	31.49	30.1	25.66	13.13	59.84	52.89	31.59	34.44
evm.model.scaffold8.157	0.13	0.21	0.39	0.18	0.12	0.23	0.07	0.22	0.19
evm.model.scaffold8.156	8.9	10.98	8.17	10.33	3.44	13.64	14.38	11.04	7.79
evm.model.scaffold8.155	0.86	1.73	0.64	0.9	0.93	0.97	1.03	0.82	0.92
evm.model.scaffold8.154	17.39	25.41	22.44	23.66	28.02	25.06	27.24	35.22	26.69
evm.model.scaffold8.153	457.89	419.11	432	673.18	623.1	454.12	423.93	553.78	449.22
evm.model.scaffold8.152	32.55	34.68	29.65	39.81	48.41	30.1	29.61	45.52	38.14
evm.model.scaffold8.151	244.73	226.78	227.52	278.55	277.24	239.28	218.92	274.41	231.77
evm.model.scaffold8.150	38.67	40.67	38.61	52.62	58.64	42.53	39.49	58.63	52.55
evm.model.scaffold8.15	22.44	30.12	25.42	28.21	35.4	27.97	21.48	36.23	23.7
evm.model.scaffold8.149	7.51	8.13	7.49	9.5	10.64	7.37	6.46	11.06	8.32
evm.model.scaffold8.148	11.88	10.67	11.37	14.34	15.55	12.69	8.97	14.73	12.62
evm.model.scaffold8.147	60.51	59.69	73.07	63.09	53.52	89.81	53.91	62.17	59.4
evm.model.scaffold8.146	29.36	36.47	31.39	43.84	38.98	32.69	29.45	41.73	35.64
evm.model.scaffold8.145	98.33	117.45	96.52	66.25	76.67	104.41	242.27	123.81	116.8
evm.model.scaffold8.144	47.57	44.66	46.29	54.62	54.58	54.33	34.99	55.74	41.13
evm.model.scaffold8.143	68.33	73.67	67.35	88.6	91.16	91.12	62.13	85.83	73.69
evm.model.scaffold8.142	130.02	122.25	114.22	154.9	155.97	127.48	126.37	164.14	144.84
evm.model.scaffold8.141	24.04	22.52	20.73	26.22	24.43	30.69	19.77	29.09	19.56
evm.model.scaffold8.140	0.36	0.31	0.19	0	0.59	0.16	1.38	2.11	1.56
evm.model.scaffold8.14	35.39	43.98	54.12	33.97	56.34	64.73	33.73	50.28	53.14
evm.model.scaffold8.139	0.23	1.88	0.67	0	1.82	0.73	1.49	3.52	4.8
evm.model.scaffold8.138	149.17	182.61	280.8	82.57	93.36	239.44	150.15	133.29	218.97
evm.model.scaffold8.137	39.52	37.93	17.03	12.69	31.69	13.48	41.75	28.12	21.01
evm.model.scaffold8.136	34.5	68.13	20.49	12.6	47.82	17.88	36.02	48.37	26.42
evm.model.scaffold8.135	124.55	155.91	39.74	45.88	116.46	33.21	127.77	127.99	58.62
evm.model.scaffold8.134	12.31	24.61	42.84	6.66	16.93	43.5	11.18	25.36	28.26
evm.model.scaffold8.133	4.31	5.91	4.89	5.86	4.58	4.77	4.69	4.19	3.95
evm.model.scaffold8.132	0	0	0	0	0	0	0	0	0
evm.model.scaffold8.131	0.07	0.18	0.14	0.1	0	0.04	0.08	0.08	0.07
evm.model.scaffold8.130	58.98	50.12	56.16	56.85	63.13	43.52	30.97	74.22	48.55
evm.model.scaffold8.13	0.05	0.22	0.05	0.07	0.09	0.06	0.08	0.11	0.02
evm.model.scaffold8.129	1.83	1.26	1.47	1.82	1.48	1.23	0.99	2.23	1.93
evm.model.scaffold8.128	28.14	34.13	25.66	35.6	44.43	27.01	29.56	43.26	29.14
evm.model.scaffold8.127	10.85	9.52	8.34	14.09	11.06	7.78	10.66	12.74	9.28
evm.model.scaffold8.126	1.13	3.7	3.24	4.68	9.52	5.02	6.74	19.89	8.43
evm.model.scaffold8.125	13.08	14.83	12.25	19	20.26	13.82	12.98	21.34	13.94
evm.model.scaffold8.124	0.7	0.69	0.48	0.66	1.09	0.53	0.46	0.94	0.61
evm.model.scaffold8.123	8.68	9.18	8.63	10.71	12.65	7.84	8.32	13.72	10
evm.model.scaffold8.122	13.34	12.18	11.43	16.33	15.93	11.33	11.12	16.14	12.77
evm.model.scaffold8.121	8.4	9.99	9.83	12.48	15.2	11.33	9.63	19.12	11.53
evm.model.scaffold8.120	36.76	39.73	37.76	26.54	35.68	29.92	37.89	34.69	34.82
evm.model.scaffold8.12	15.02	14.57	17.22	17.62	23.91	17.6	12.29	19.16	14.77
evm.model.scaffold8.119	4.22	5.15	4.61	6.4	8.65	5.62	4.79	9.59	6.59
evm.model.scaffold8.118	3.11	6.52	4.19	6.83	12.35	5.55	6.58	15.01	9.3
evm.model.scaffold8.117	0.09	2.15	0.33	0.84	3.54	2.51	2.49	9.49	4.34
evm.model.scaffold8.116	22.79	24.1	19.41	28.17	29.07	18.52	16.35	25.61	17.53
evm.model.scaffold8.115	11.29	13.2	10.14	14.77	12.18	11.23	6.7	11.74	10.02
evm.model.scaffold8.114	0.31	0.26	0.21	0.34	0.25	0.18	0.2	0.34	0.31
evm.model.scaffold8.113	13.08	12.78	13.14	10.95	11.51	9.57	7.14	12.07	8.06
evm.model.scaffold8.112	0	11.27	4.1	10.42	26.27	12.26	19.56	60.32	21.3
evm.model.scaffold8.111	9.57	15.17	10.68	12.88	21.08	16.88	14.37	28.41	18.89
evm.model.scaffold8.110	16.21	24.66	17.99	19.87	37.5	22.21	17.01	39.27	19.53
evm.model.scaffold8.11	14.98	16.7	13.82	15.34	23.56	14.19	10	18.74	13.28
evm.model.scaffold8.109	0.67	0.77	0.52	1.42	0.74	0.64	0.78	0.86	0.79
evm.model.scaffold8.108	0	2.45	0.83	2.1	6.58	2.48	3.18	12.98	5.23
evm.model.scaffold8.107	1.04	1.02	0.82	1.21	1.56	0.9	1.04	1.34	1.72
evm.model.scaffold8.106	145.45	113.71	129.09	183.76	142.34	85.85	121.21	153.26	123.1
evm.model.scaffold8.105	31.11	29.21	36.11	37.36	38.01	39.21	29.56	36.04	39.7
evm.model.scaffold8.104	14.18	12.8	16.65	15.1	16.9	17.39	13.17	16.19	17.26
evm.model.scaffold8.103	75.32	84.17	103.5	40.37	51.33	79.81	94.78	57.49	84.57
evm.model.scaffold8.102	44.11	55.87	49.13	67.13	78.37	51.94	50.82	86.26	58.97
evm.model.scaffold8.101	7.61	14.57	8.8	2.97	16.47	7.72	13.53	13.01	13.95
evm.model.scaffold8.100	10.99	30.92	16.07	0.33	22.53	14.57	14.77	11.58	18.42
evm.model.scaffold8.10	57.94	98.73	89.85	53.46	36.26	150.99	100.12	60.96	72.01
evm.model.scaffold8.1	0	0.29	0.08	0.18	0.75	0.18	0.55	1.34	0.56
evm.model.scaffold794.1	9.21	8.83	10	6.02	6.1	10.46	6.38	7.68	7.11
evm.model.scaffold79.9	10.5	10.32	9.64	11.74	15.32	9.98	10.78	16.65	10.86
evm.model.scaffold79.8	2330.35	2354.57	2176.27	2489.86	2562.6	2154.45	2352.27	2697.65	2572.72
evm.model.scaffold79.7	272.14	240.84	280.79	290.51	226.6	239.68	254.18	319.51	296.14
evm.model.scaffold79.6	59.9	54.92	56.82	59.53	65.82	55.08	47.38	72.53	38.92
evm.model.scaffold79.5	11.2	10.18	9.16	11.56	12.74	9.63	9.74	11.29	11.17
evm.model.scaffold79.42	314.61	235.47	370.66	366.35	145.22	341.72	221.4	61.26	361.62
evm.model.scaffold79.41	0	0	0	0	0	0	0	0	0
evm.model.scaffold79.40	4.1	3.18	3.68	4.85	4.6	3.59	4.58	4.77	5.52
evm.model.scaffold79.4	0.41	2.64	1.92	3.32	6.92	3.66	4.69	12.03	6.4
evm.model.scaffold79.39	5.07	5.12	5.44	6.24	6.22	5.82	6.42	6.47	5.91
evm.model.scaffold79.38	47.74	48.02	66.34	87.67	63.55	67.64	62.57	70.4	45.7
evm.model.scaffold79.37	13.52	12.16	11.87	15.68	16.57	14.13	14.29	17.72	16.56
evm.model.scaffold79.36	164.95	191.48	153.34	188.75	248.09	157.33	176.7	199.22	159.96
evm.model.scaffold79.35	0	0.03	1.39	0.03	0	1.25	0	0	1.49
evm.model.scaffold79.34	0	0	0.1	0	0.16	0.06	0.04	0	0.06
evm.model.scaffold79.33	25.91	22.22	24.29	29.25	31.09	27.36	27.86	31.21	28.66
evm.model.scaffold79.32	120.56	154.74	138.24	87.07	122.12	117.06	119.21	115.94	126.9
evm.model.scaffold79.31	1.08	1.37	1.22	1.78	0.94	0.98	0.63	1.8	1.11
evm.model.scaffold79.30	26.9	28.38	30.15	32.39	23.13	57.67	33.93	35.82	29.84
evm.model.scaffold79.3	26.33	23.24	23.57	39.75	25.91	20.17	13.12	25.5	19.29
evm.model.scaffold79.29	47.68	49.13	54.07	53.67	62.49	62.23	49.26	51.71	54.08
evm.model.scaffold79.28	32.11	28.27	34.52	35.86	41.24	37.94	26.2	34.35	32.69
evm.model.scaffold79.27	5.01	8.35	5.94	9.17	3.55	15.95	10.25	7.61	5.9
evm.model.scaffold79.26	0.18	0.32	0.32	0.23	0.25	0.25	0.15	0.45	0.39
evm.model.scaffold79.25	68.18	52.46	56.3	86.11	64.38	84.61	84.39	78.87	78.82
evm.model.scaffold79.24	18.4	19.59	17.61	18.17	20.31	24.65	15.27	20.92	21.75
evm.model.scaffold79.23	1.01	1.12	0.7	1.85	1.95	0.53	0.69	2.1	0.64
evm.model.scaffold79.22	37.56	29.22	39.66	49	53.79	48.05	13.21	25.81	32.49
evm.model.scaffold79.21	0.03	0.11	0.14	0.06	0.08	0.23	0.02	0.1	0.01
evm.model.scaffold79.20	73.35	35.21	92.66	80.49	49.84	50.84	38.63	72.3	76.67
evm.model.scaffold79.2	0	0	0	0	0	0	0	0	0
evm.model.scaffold79.19	23.92	43.59	35.96	12.7	15.3	89.45	84.74	15.29	38.99
evm.model.scaffold79.18	0.37	0.18	0.23	0.38	0.43	0.17	0.74	0.38	0.27
evm.model.scaffold79.17	0.47	0.6	0.27	0.76	0.56	0.34	0.62	0.43	0.41
evm.model.scaffold79.16	0.1	4.07	3.05	5.22	11.6	5.91	6.58	21	11.42
evm.model.scaffold79.15	0.1	0.03	0.07	0.07	0.16	0.02	0.06	0.06	0.06
evm.model.scaffold79.14	0	1.45	0.81	1.18	3.35	1.29	2.04	5.1	1.91
evm.model.scaffold79.13	1.44	4.14	1.52	0.52	1.6	1.02	2.82	2.15	2.39
evm.model.scaffold79.12	9.57	17.52	18.34	14.17	19.45	10.83	24.93	21.86	23.25
evm.model.scaffold79.11	4.2	4.2	1.2	5.58	4.68	0.84	2.47	5.45	1.12
evm.model.scaffold79.10	54.9	65.05	61.52	55.73	73.71	25.81	27.74	121.93	62.9
evm.model.scaffold79.1	0.9	0.56	0.87	0.89	0.64	0.54	0.66	0.88	0.66
evm.model.scaffold78.9	32.3	10.08	11.51	27.39	9.61	18.37	12.52	19.82	12.26
evm.model.scaffold78.8	0.66	0.41	0.96	0.68	0.43	1.03	0.45	0.44	1.28
evm.model.scaffold78.7	22.2	9.58	10.14	10.39	10.58	7.83	11.07	12.3	7.43
evm.model.scaffold78.6	27.84	28.11	26.15	34.09	33.9	25.7	25	34.81	30.54
evm.model.scaffold78.5	284.89	258.72	268.12	333.9	293.53	304.06	260.48	306.71	243.99
evm.model.scaffold78.43	0	4.61	1.44	4.55	7.67	4.01	5.84	12.73	9.68
evm.model.scaffold78.42	0.68	1.03	0.73	0.5	0.68	0.56	0.57	0.43	0.6
evm.model.scaffold78.41	0.26	0.74	0.4	0.05	0.13	0.26	0.2	0.57	0.42
evm.model.scaffold78.40	1.93	1.62	2.16	1.42	1.17	1.47	1.25	1.53	1.82
evm.model.scaffold78.4	8.01	6.76	6.34	9.33	8.91	6.85	6.59	8.23	6.75
evm.model.scaffold78.39	140.59	132.86	148.49	209.82	201.61	130.38	100.11	195.2	103.68
evm.model.scaffold78.38	13.08	13.87	11.41	20.65	16.35	12.01	12.22	15.37	13.27
evm.model.scaffold78.37	12.5	13.67	13.04	17.66	18.24	14.5	14.44	18.75	16.91
evm.model.scaffold78.36	102.43	107.18	110.39	100.25	116.85	120.39	94.13	106.67	104.3
evm.model.scaffold78.35	1227.15	1215.74	1196.3	1194.09	1143.68	1051.82	1117.05	1075.16	1197.92
evm.model.scaffold78.34	10	9.84	10.57	12.5	13.26	11.2	8.55	13.48	9.5
evm.model.scaffold78.33	66.05	57.22	58.84	91.88	73.22	63.26	55.91	69.4	65.97
evm.model.scaffold78.32	29.6	39.83	30.94	35.37	41.73	32.71	34.12	32.35	38.53
evm.model.scaffold78.31	3.22	2.96	2.52	3.86	3.82	2.64	2.58	3.6	2.93
evm.model.scaffold78.30	11.92	12.73	13.46	19.66	12.41	15.35	9.26	13.63	10.09
evm.model.scaffold78.3	0.09	3.25	1.44	3.61	6.02	3.19	5.29	9.83	5.98
evm.model.scaffold78.29	34.22	34.63	32.21	47.03	42.38	38.19	35.07	37.28	30.56
evm.model.scaffold78.28	0.56	0.25	0.55	0.35	0.26	0.39	0.18	0.37	0.44
evm.model.scaffold78.27	51.79	51.58	44.69	57.57	62.38	49.53	44.25	58.03	50.05
evm.model.scaffold78.26	121.39	124.51	116.35	133.58	153.24	121.31	114.68	139.93	117.88
evm.model.scaffold78.25	104.83	95.22	93.85	133.06	133.12	85.59	71.86	137.34	81.89
evm.model.scaffold78.24	63.67	69.19	71.97	79.02	62.33	88.44	71.85	78.41	66.25
evm.model.scaffold78.23	13.18	11.85	13.02	12.64	11.94	11.28	6.36	13.97	10.66
evm.model.scaffold78.22	631.62	650.41	505.99	575.48	657.71	351.66	554.8	520.54	284.97
evm.model.scaffold78.21	10.3	12.99	10.33	9.95	11.07	8.98	8.12	10.95	13.27
evm.model.scaffold78.20	79.89	73.68	68.7	93.21	107.82	77.75	71.99	88.6	76.54
evm.model.scaffold78.2	0.85	0.65	0.69	0.7	1.05	0.4	0.55	0.7	1.12
evm.model.scaffold78.19	11.73	13.13	11.25	14.96	14.29	11.56	14.17	15.93	14.12
evm.model.scaffold78.18	45.68	46.97	48	51.25	58.36	50.04	39	61.04	47.26
evm.model.scaffold78.17	3.03	3.32	1.33	3.84	1.94	2.24	2.16	3.23	2.36
evm.model.scaffold78.16	5.33	5.15	4.93	6.93	5.18	5.72	5.34	5.25	5.57
evm.model.scaffold78.15	111.31	115.63	99.55	111.99	134.08	103.64	105.36	118.33	108.19
evm.model.scaffold78.14	0.18	3.04	1.45	2.54	6.8	3.2	4.46	12.65	5.26
evm.model.scaffold78.13	11.09	13.59	11.92	14.6	16.37	16.84	10.38	14.78	10.84
evm.model.scaffold78.12	0.85	0.66	0.74	1.28	0.89	1	0.85	0.64	1.33
evm.model.scaffold78.11	6.59	7.44	6.58	9.12	9.62	7.87	6.91	9.83	8.79
evm.model.scaffold78.10	5.88	6.3	5.83	7.56	7.96	4.5	4.45	7.15	6.08
evm.model.scaffold78.1	2.09	0.44	0.33	5.05	5.4	0.96	2.31	3.78	1.02
evm.model.scaffold77.9	16.77	19.61	18.94	20.59	24.52	20.98	20.18	27.68	24.53
evm.model.scaffold77.8	13.52	12.71	12.95	17.92	16.9	13.46	13.58	19.03	13.64
evm.model.scaffold77.7	0	5.25	1.9	3.31	14.06	6.27	8.56	30.42	12.14
evm.model.scaffold77.6	9.39	7.14	6.05	9.86	9.89	7.73	8.33	7.75	7.33
evm.model.scaffold77.5	0	7.73	0	0	1.23	0.59	0	0	0
evm.model.scaffold77.4	3.15	2.97	5.65	5.31	6.76	4.15	3.42	3.66	4.36
evm.model.scaffold77.3	7.96	8.36	9.09	8.73	12.06	9.04	6.69	10.17	8.36
evm.model.scaffold77.26	12.52	10.99	11.85	15.98	15.75	11.69	12.73	14.9	14.92
evm.model.scaffold77.25	55.91	60.65	45.86	79.77	73.69	53.55	58.25	73.79	49.63
evm.model.scaffold77.24	722.32	613.5	626.27	806.02	802.63	591.44	604.29	780.95	730
evm.model.scaffold77.23	2.28	3.09	2.62	3.77	4.57	2.46	1.93	4.56	3.36
evm.model.scaffold77.22	5.52	3.85	3.47	7.37	4.77	3.97	6.58	4.62	4.68
evm.model.scaffold77.21	608.59	571.87	1031.5	389.13	570.96	602.38	209.09	185.48	470.88
evm.model.scaffold77.20	177.37	173.6	206.83	205	190.92	198.93	129.47	111.3	201.4
evm.model.scaffold77.2	2.38	2.38	1.76	3.23	3.76	2.4	3.01	3.02	3.67
evm.model.scaffold77.19	5.32	4.95	5.57	7.26	6.86	5.09	4.33	6	4.83
evm.model.scaffold77.18	0.04	0.48	0	0.14	1.11	0.07	0.04	0.36	0.02
evm.model.scaffold77.17	103.46	126.82	105.62	113.58	150.63	153.11	99.02	107.94	112.24
evm.model.scaffold77.16	11.08	8.42	10.2	12.51	11.41	10.76	7.69	9.89	9.85
evm.model.scaffold77.15	128.52	104.5	127.4	131.73	215.32	145.8	115.04	127.72	115.25
evm.model.scaffold77.14	0.46	0.5	0.66	0.54	0.74	1.07	0.43	0.43	0.76
evm.model.scaffold77.13	8.64	8.15	8.83	10.64	10.64	9.88	7.49	11.12	10.16
evm.model.scaffold77.12	18.35	23.47	21.33	28.29	31.57	27.55	26.92	40.04	28.1
evm.model.scaffold77.11	15.81	15.95	13	18.35	21.77	14.56	12.98	20.2	17.09
evm.model.scaffold77.10	79.48	118.91	84.66	47.72	88.56	191.25	69.31	99.25	215.87
evm.model.scaffold77.1	6.97	5.87	5.95	7.57	7.38	5.26	5.23	7.82	7.11
evm.model.scaffold76.9	37.65	59.26	49.4	66.4	115.06	66.15	80.35	199.52	102.47
evm.model.scaffold76.8	5.49	7.66	4.49	2.97	3.7	6.5	11.14	2.98	8.15
evm.model.scaffold76.7	120.43	208.07	100.72	114.14	180.09	72.17	73.1	106.66	73.37
evm.model.scaffold76.6	0.06	3.44	1.08	2.83	7.09	2.7	3.85	10.08	5.68
evm.model.scaffold76.5	33.94	33.03	31.91	38.3	41.88	32.78	34.52	42.96	37.37
evm.model.scaffold76.4	71.2	64.14	63.15	78.53	80.58	65.53	58.56	85.05	68.3
evm.model.scaffold76.3	4.16	4.17	3.29	5.65	4.87	3.67	5.01	6.57	4.27
evm.model.scaffold76.25	4.25	4.14	2.71	6.42	4.09	3.5	4.63	4.51	2.6
evm.model.scaffold76.24	6.47	4.69	3.95	9.98	7.69	3.59	5.51	6.46	3.27
evm.model.scaffold76.23	67.11	48.24	71.69	12.52	142.81	139.33	184.12	97.23	328.46
evm.model.scaffold76.22	67.11	48.24	71.69	12.52	142.81	139.33	184.12	97.23	328.46
evm.model.scaffold76.21	9.92	5.3	6.27	13.19	3.37	9.87	9.07	6.16	4.65
evm.model.scaffold76.20	0.28	0.12	0	0.39	0.39	0.2	0.25	0.37	0.22
evm.model.scaffold76.2	0	0.41	0.61	0.76	1.07	0.81	0.31	1.55	0.9
evm.model.scaffold76.19	0.32	0.8	0.23	0.97	0.96	0.72	0.4	1.05	0.58
evm.model.scaffold76.18	0.11	0	0.04	0.05	0.09	0.08	0.08	0	0.14
evm.model.scaffold76.17	0.02	0	0.11	0	0	0.06	0	0.02	0.09
evm.model.scaffold76.16	0.33	0.28	0.11	0.47	0.52	0.12	0.12	0.12	0.11
evm.model.scaffold76.15	0.57	0.51	0.55	0.29	0.66	0.43	0.66	0.4	1.17
evm.model.scaffold76.14	0.27	0.12	0.15	0.39	0.26	0.11	0.32	0.26	0.11
evm.model.scaffold76.13	0.05	0.26	0.08	0.07	0.19	0.12	0.06	0.12	0.07
evm.model.scaffold76.12	0.07	0	0	0.1	0	0	0.05	0.03	0.05
evm.model.scaffold76.11	3.43	0.38	0.3	3.99	0.44	0.25	2.85	0.47	0.33
evm.model.scaffold76.10	1.89	4.31	2.62	0.8	2.15	2.45	2.49	1.81	3.38
evm.model.scaffold76.1	5.69	3.85	4.64	8.6	6.54	5.05	4.6	6.26	5.42
evm.model.scaffold759.1	6.86	29.66	132.73	58.97	24.47	127.3	165.33	47.69	208.04
evm.model.scaffold755.1	7.45	9.41	8.28	15.36	10.26	9.63	9.24	11.84	11.85
evm.model.scaffold75.9	16.98	14.42	16.4	23.55	20	17.08	14.07	21.32	18.69
evm.model.scaffold75.8	8.75	8.98	7.61	10.98	12.66	7.81	8.03	13.08	9.65
evm.model.scaffold75.7	10.14	9.85	10.54	11.6	13.42	10.75	9.76	13.4	13.24
evm.model.scaffold75.6	7.33	7.67	6.7	10.2	12.63	8.46	9.52	12	9.76
evm.model.scaffold75.5	12.85	12.06	10	17.89	14.36	9.37	11.13	12.3	12.25
evm.model.scaffold75.4	0.01	0.04	0.13	0.22	0.27	0.14	0.22	0.39	0.43
evm.model.scaffold75.32	0	1.87	1.68	2.95	4.35	3.04	3.53	6.67	6.04
evm.model.scaffold75.31	0.3	0.22	0.3	0.23	0.33	0.3	0.32	0.48	0.34
evm.model.scaffold75.30	44.75	44.8	41.3	65.92	58.8	48.83	38.24	64.28	49.1
evm.model.scaffold75.3	0.89	1.51	1.9	2.19	3.5	2.29	2.55	5.07	3.42
evm.model.scaffold75.29	13.11	14.77	15.62	27.66	18.36	11.68	11.47	23.17	13.15
evm.model.scaffold75.28	4.55	13.36	15.62	14.66	6.48	12.54	7.9	17	8.77
evm.model.scaffold75.27	11.21	18.87	29.82	37.97	7.22	31.88	19.25	17.17	11.71
evm.model.scaffold75.26	22.79	23	21.04	25.75	27.05	21.18	20.88	22.24	24.38
evm.model.scaffold75.25	13.16	15.27	13.13	15.71	15.97	19.78	15.57	16.85	15.74
evm.model.scaffold75.24	25.24	32.16	30.13	36.68	28.26	41.58	29.14	43.62	25.8
evm.model.scaffold75.23	20.21	15.55	18.61	34.78	10.17	8.74	11.3	19.46	7.44
evm.model.scaffold75.22	6.02	8.38	8.06	8.33	8.07	10.73	7.55	9.14	8.75
evm.model.scaffold75.21	45.82	43.25	46.39	46.95	50.45	39.81	28.9	49.93	39.03
evm.model.scaffold75.20	44.32	43.18	40.47	53.74	53.03	40.33	39.5	48.48	40.72
evm.model.scaffold75.2	17.88	15.14	14.95	19.77	22.36	16.61	15.71	21.37	15.12
evm.model.scaffold75.19	7.13	10.46	7.78	11.33	15.14	9.73	10.41	18.49	10.68
evm.model.scaffold75.18	12.93	12.26	12.48	16.58	15.08	12.79	13.73	15.14	14.48
evm.model.scaffold75.17	5.6	7.3	6.55	9.4	12.07	6.54	7.5	14.8	7.87
evm.model.scaffold75.16	100.92	102.03	98.18	104.7	118.15	86.62	119.76	120.9	106.43
evm.model.scaffold75.15	5.78	2.8	4.6	4.63	2.38	4.79	5.67	2.23	5.16
evm.model.scaffold75.14	1.8	3.02	2.11	2.75	2.62	2.13	1.98	1.84	1.58
evm.model.scaffold75.13	0	0.45	0.12	0.17	0.14	0	0	0.26	0.34
evm.model.scaffold75.12	0	0	0	0	0.09	0.01	0	0	0
evm.model.scaffold75.11	0.02	0	0	0	0.03	0.01	0	0.07	0
evm.model.scaffold75.10	12.58	7.69	9.85	13.36	11.34	9.71	9.5	13.65	10.11
evm.model.scaffold75.1	8.27	4.48	14.31	10.94	4.24	13.6	9.45	6.47	15.8
evm.model.scaffold748.1	31.54	76.64	37.36	31.76	97.59	31.96	23.73	62	46.88
evm.model.scaffold742.1	0	0	0	0	0	0	0	0	0
evm.model.scaffold741.1	3.55	3.97	2.94	4.33	5.44	3.31	2.79	4.46	3.32
evm.model.scaffold74.9	0.04	0.03	0.06	0.04	0.02	0.01	0.01	0.01	0.02
evm.model.scaffold74.8	2.92	2.77	2.56	4.87	3.84	1.94	2.07	4.28	2.74
evm.model.scaffold74.7	0.42	0.15	0.12	0.25	0.21	0.29	0.13	0.4	0.4
evm.model.scaffold74.6	54.87	73.81	80.7	98.47	44.48	115.69	114.6	86.46	61.91
evm.model.scaffold74.5	3.68	3.99	3.12	5.15	4.35	3.64	3.62	3.66	4.83
evm.model.scaffold74.43	0.14	0	0	0.07	0.06	0	0.35	0.1	0
evm.model.scaffold74.42	16.77	20.69	20.44	20.07	23.77	19.16	16.36	23.16	21.47
evm.model.scaffold74.41	21.14	21.82	21.25	23.04	23.99	24.05	19.59	23.71	25.19
evm.model.scaffold74.40	24.58	25.42	23.67	29.89	39.27	26.6	26.1	38.82	27.77
evm.model.scaffold74.4	30.52	29.04	29.17	52.47	31	33.34	30.61	45.81	26.19
evm.model.scaffold74.39	22.74	20.91	20.37	22.49	26.53	19.02	18.09	27.53	19.02
evm.model.scaffold74.38	21.36	29.52	18.08	23.85	42.69	18.64	19.74	41.51	19.5
evm.model.scaffold74.37	46.01	42.62	40.28	52.38	61.35	50.24	45.36	57.67	52.29
evm.model.scaffold74.36	38.37	38.99	38.49	42.11	57.34	40.63	39.32	56.14	46.18
evm.model.scaffold74.35	1.25	1.1	1.51	1.65	1.4	1.44	1.04	1.43	1.68
evm.model.scaffold74.34	10.09	10.47	9.91	13.67	13.96	9.71	8.13	15.18	10.23
evm.model.scaffold74.33	3050.82	3006.09	2984.6	3352.04	3288.25	3011.88	2974.65	3211.6	3673.22
evm.model.scaffold74.32	11.62	14.35	11.92	16.79	18.53	13.62	13.6	18.52	14.39
evm.model.scaffold74.31	31.78	30.98	30.86	33.47	34.87	27.34	28.53	37.35	32.29
evm.model.scaffold74.30	18.86	16.84	17.67	39.14	21.5	12	16.87	22.87	13.88
evm.model.scaffold74.3	107.2	89.1	92.67	153.73	125.71	69.56	82.4	120.51	80.74
evm.model.scaffold74.29	14.12	11.35	11.51	15.89	12.95	9.89	7.88	14.12	13.04
